127.0.0.1 - - [10/Sep/2017:19:23:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:23:24 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:23:24 +0530] "GET /College/image/college-home-page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:23:24 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:23:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:28:44 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:28:44 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:28:46 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:30:33 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:30:33 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:30:34 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:30:34 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:17 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:17 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:27 +0530] "GET /College/register.jsp?admin_name=aaa&admin_password1=aaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:49 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:49 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:31:53 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:33:32 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:33:32 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:33:33 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [10/Sep/2017:19:33:33 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2636
