127.0.0.1 - - [16/Sep/2017:06:47:00 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:48:39 +0530] "GET /College/ HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:48:44 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:48:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:53:23 +0530] "GET /College/ HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:53:23 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:08 +0530] "GET /College/ HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:08 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:16 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:17 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:17 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:31 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:31 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:54:36 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:05 +0530] "GET /College/register.jsp?admin_name=vdn&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:19 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:23 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:23 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:27 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:37 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:38 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:41 +0530] "GET /College/login.jsp HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:46 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:47 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:48 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:55:57 +0530] "GET /College/register.jsp?admin_name=dsln&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:05 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:06 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:07 +0530] "GET /College/login.jsp HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:27 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:27 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:29 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:36 +0530] "GET /College/register.jsp?admin_name=dflnbllfn&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:56:42 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:57:22 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [16/Sep/2017:06:57:33 +0530] "GET /College/register.jsp?admin_name=nvldf&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
