127.0.0.1 - - [11/Sep/2017:21:34:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:34:17 +0530] "GET /College/ HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:34:18 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:34:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:34:35 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:37:55 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:38:29 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:38:37 +0530] "GET /College/register.jsp?admin_name=aaa&admin_password1=aaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:38:43 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:40:44 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:41:02 +0530] "GET /College/register.jsp?admin_name=aaa&admin_password1=aaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:41:09 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:42:06 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:42:10 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:42:17 +0530] "GET /College/register.jsp?admin_name=aaa&admin_password1=aaaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:42:20 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:43:32 +0530] "GET /College/register.jsp?admin_name=aa&admin_password1=aa&admin_password2=aa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:43:34 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:43:49 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
