127.0.0.1 - - [22/Sep/2017:23:02:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:02:22 +0530] "GET /College/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:02:23 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:02:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:02:39 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:03:24 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:04:40 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:05:14 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3160
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:06:06 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:06:38 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:06:57 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:08:13 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:08:13 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:09:17 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:09:26 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:09:28 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:09:28 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:01 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:12 +0530] "GET /College/register.jsp?admin_name=Adi&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:14 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:14 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:43 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:51 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:53 +0530] "GET /College/index.jsp HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:53 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:10:55 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [22/Sep/2017:23:11:09 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3224
